title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Spectra of graphs,"AE Brouwer, WH Haemers",2011,3693,… Chapters 14 and 15 return to the real spectrum and consider when a graph is determined by its … This book shows the influence of Seidel. For other books on … The spectral center of a tree …,2CZNz1gRPpAJ,"AE Brouwer, WH Haemers - 2011 - books.google.com",['https://aeb.win.tue.nl/2WF05/spectra.pdf'],https://books.google.com/books?hl=en&lr=&id=F98THwYgrXYC&oi=fnd&pg=PR3&dq=tree+determined+by+Seidel+spectrum&ots=gi5hCfq5LU&sig=O35SUPyjii3VMrKDJjpjVcbyTEI,unknown,unknown
Which graphs are determined by their spectrum?,"ER Van Dam, WH Haemers",2003,1077,"… ±1 (like we saw with Seidel switching), so they have the same spectrum. In particular the above … than the spectrum and showed that they are still not strong enough to determine trees. …",XF6pYIBCZ3YJ,"ER Van Dam, WH Haemers - Linear Algebra and its applications, 2003 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S002437950300483X/pdf?md5=7233965950378a9ffdaed59ee696555e&pid=1-s2.0-S002437950300483X-main.pdf'],https://www.sciencedirect.com/science/article/pii/S002437950300483X,unknown,unknown
Graphs and their spectra,JJ Seidel,1989,24,"… determine boundary conditions. A discrete version amounts to the question whether a graph is determined by its spectrum, ie… This applies to the trees constructed in Section 3, hence we …",NXp89Rp5P1sJ,"JJ Seidel - Banach Center Publications, 1989 - impan.pl",['https://www.impan.pl/shop/en/publication/transaction/download/product/106499?download.pdf'],https://www.impan.pl/shop/en/publication/transaction/download/product/106499?download.pdf,unknown,unknown
Graph spectrum,"AE Brouwer, WH Haemers",2011,13,… From the Laplace spectrum of a graph one can determine the number of spanning trees (… The Seidel spectrum of a graph is the spectrum of its Seidel adjacency matrix. For a regular …,1g4GMcL_SnEJ,"AE Brouwer, WH Haemers - Spectra of graphs, 2011 - Springer",[],https://link.springer.com/chapter/10.1007/978-1-4614-1939-6_1,unknown,unknown
Seidel spectra of some variants of corona operations,"MJ Cheng, SY Cui, GX Tian",2023,0,"… Seidel spectrum of graphs and some achievements have been made in this regard. In this paper, we determine the Seidel spectra of … Remark that, if m1 − n1 < 0, then G1 must be a tree. …",x_ATKmcXRj8J,"MJ Cheng, SY Cui, GX Tian - RAIRO-Operations Research, 2023 - rairo-ro.org",['https://www.rairo-ro.org/articles/ro/pdf/2023/04/ro210478.pdf'],https://www.rairo-ro.org/articles/ro/abs/2023/04/ro210478/ro210478.html,unknown,unknown
A survey on integral graphs,"K Balińska, D Cvetković, Z Radosavljević…",2002,283,"… A balanced tree is uniquely determined by the parity of its … But if we consider Laplacian spectrum of a tree, it turns out … of triples of The Seidel spectrum or the S- spectrum of a graph is …",E79mc92Q9xMJ,"K Balińska, D Cvetković, Z Radosavljević… - Publikacije …, 2002 - JSTOR",['https://draganstevanovic.wordpress.com/wp-content/uploads/2012/09/928.pdf'],https://www.jstor.org/stable/43666564,unknown,unknown
The Seidel spectrum of two variants of join operations,"MJ Cheng, SY Cui, GX Tian",2023,1,"… In this paper, we completely determine the Seidel spectrum and corresponding Seidel … are determined by Theorem 2.1 completely. Remark that, if m1 − n1 < 0, then G1 must be a tree. …",Sr4O8CQQ0PcJ,"MJ Cheng, SY Cui, GX Tian - Discrete Mathematics, Algorithms and …, 2023 - World Scientific",[],https://www.worldscientific.com/doi/abs/10.1142/S1793830922501063,unknown,unknown
Weisfeiler-leman and graph spectra,"G Rattan, T Seppelt",2023,48,"… matrix, can already determine several important graph properties … A well-known result of this kind is Kirchhoff’s Matrix Tree … signless or normalised Laplacian, the Seidel matrix, etc. have …",CimOuSZi45gJ,"G Rattan, T Seppelt - Proceedings of the 2023 Annual ACM-SIAM …, 2023 - SIAM",['https://arxiv.org/pdf/2103.02972'],https://epubs.siam.org/doi/abs/10.1137/1.9781611977554.ch87,unknown,unknown
Measuring the contribution of leaves to the structural complexity of urban tree crowns with terrestrial laser scanning,"G Arseniou, DW MacFarlane, D Seidel",2021,27,"… , to determine the above-ground structural complexity of trees growing in … spectrum (SES)”, which explains species structural diversity in terms of tree architectural traits along a spectrum …",vWEAntC85pUJ,"G Arseniou, DW MacFarlane, D Seidel - Remote Sensing, 2021 - mdpi.com",[],https://www.mdpi.com/2072-4292/13/14/2773,unknown,unknown
Identifying architectural characteristics that determine tree structural complexity,"D Seidel, M Ehbrecht, Y Dorji, J Jambay, C Ammer…",2019,87,"… forests (Tomlinson 1983; Seidel 2018). Tree complexity is determined by the architecture of … tree element. In this context, ‘architecture’ refers to the fundamental underlying (genetically …",VFoDsmMgyrwJ,"D Seidel, M Ehbrecht, Y Dorji, J Jambay, C Ammer… - Trees, 2019 - Springer",[],https://link.springer.com/article/10.1007/s00468-019-01827-4,unknown,unknown
